"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.897185417E-1,2.495641327E1,-1.008712769E0,-4.550833130E1,5.191192813E1
8.996915417E-1,2.509572601E1,-8.918304443E-1,-4.541888428E1,5.189861149E1
9.096645417E-1,2.494653320E1,-5.916900635E-1,-4.556567383E1,5.195103702E1
9.196375417E-1,2.507458496E1,-6.196975708E-1,-4.547656250E1,5.193492633E1
9.296105417E-1,2.524262238E1,-5.859451294E-1,-4.550631714E1,5.204188905E1
9.395845417E-1,2.521450043E1,-4.392013550E-1,-4.544360352E1,5.197196389E1
9.495575417E-1,2.522611237E1,-3.734512329E-1,-4.550765991E1,5.203309833E1
9.595305417E-1,2.491184998E1,-1.451950073E-1,-4.591510010E1,5.223808733E1
9.695035417E-1,2.484423828E1,-4.875946045E-2,-4.567459106E1,5.199429605E1
9.794765417E-1,2.489425659E1,1.948165894E-1,-4.540667725E1,5.178347520E1
9.894505417E-1,2.488938904E1,3.752288818E-1,-4.528915405E1,5.167910563E1
9.994235417E-1,2.486382294E1,4.660797119E-1,-4.504220581E1,5.145121209E1
1.009396542E0,2.495716858E1,4.542541504E-1,-4.524798584E1,5.167636629E1
1.019369542E0,2.489959717E1,5.067672729E-1,-4.523315430E1,5.163608234E1
1.029342542E0,2.495953369E1,4.411926270E-1,-4.538580322E1,5.179810911E1
1.039316542E0,2.499862671E1,9.054107666E-1,-4.534994507E1,5.179158835E1
1.049289542E0,2.476656342E1,1.157943726E0,-4.541226196E1,5.173970462E1
1.059262542E0,2.482720947E1,1.537528992E0,-4.548709106E1,5.184428396E1
1.069235542E0,2.480534363E1,1.706062317E0,-4.537188721E1,5.173803117E1
1.079208542E0,2.460774231E1,1.851860046E0,-4.525762939E1,5.154826268E1
1.089182542E0,2.438713837E1,2.180145264E0,-4.566055298E1,5.181092211E1
1.099155542E0,2.465626526E1,2.311592102E0,-4.550201416E1,5.180451879E1
1.109128542E0,2.435649109E1,2.564178467E0,-4.534088135E1,5.153260318E1
1.119101542E0,2.459281921E1,2.934761047E0,-4.557183838E1,5.186725395E1
1.129074542E0,2.449769592E1,3.256233215E0,-4.548989868E1,5.176940257E1
1.139048542E0,2.439463806E1,3.196983337E0,-4.520248413E1,5.146439196E1
1.149021542E0,2.442385101E1,3.869941711E0,-4.570758057E1,5.196810434E1
1.158994542E0,2.428059387E1,3.807014465E0,-4.555841064E1,5.176494353E1
1.168967542E0,2.438112640E1,3.912551880E0,-4.569876099E1,5.194347064E1
1.178940542E0,2.419548035E1,4.131706238E0,-4.516055298E1,5.140007598E1
1.188914542E0,2.411273956E1,4.313972473E0,-4.498037720E1,5.121785724E1
1.198887542E0,2.433888245E1,4.349121094E0,-4.522109985E1,5.153876138E1
1.208860542E0,2.430751801E1,4.476364136E0,-4.505206299E1,5.138659015E1
1.218833542E0,2.422841644E1,4.768272400E0,-4.545388794E1,5.172821777E1
1.228806542E0,2.422121429E1,4.916809082E0,-4.545782471E1,5.174220773E1
1.238780542E0,2.378408051E1,4.760902405E0,-4.544351196E1,5.151176037E1
1.248753542E0,2.367190552E1,5.310546875E0,-4.537054443E1,5.144946376E1
1.258726542E0,2.353369904E1,5.264991760E0,-4.523559570E1,5.126221071E1
1.268699542E0,2.364536285E1,5.431800842E0,-4.550662231E1,5.156995559E1
1.278672542E0,2.363757324E1,5.543426514E0,-4.551422119E1,5.158496658E1
1.288646542E0,2.322351837E1,5.556114197E0,-4.571850586E1,5.157891031E1
1.298619542E0,2.325218964E1,5.772560120E0,-4.568145752E1,5.158277168E1
1.308592542E0,2.303252411E1,5.772743225E0,-4.539712524E1,5.123202818E1
1.318565542E0,2.322777557E1,5.764099121E0,-4.577713013E1,5.165559059E1
1.328538542E0,2.295986176E1,5.716926575E0,-4.548468018E1,5.127079707E1
1.338512542E0,2.295810699E1,5.847000122E0,-4.565737915E1,5.143790779E1
1.348485542E0,2.296956635E1,6.045455933E0,-4.570910645E1,5.151185230E1
1.358458542E0,2.295497894E1,6.203910828E0,-4.571545410E1,5.152981963E1
1.368431542E0,2.253038788E1,6.420356750E0,-4.575961304E1,5.140799105E1
1.378404542E0,2.269207001E1,6.391548157E0,-4.566748047E1,5.139358619E1
1.388378542E0,2.247304535E1,6.440269470E0,-4.595800781E1,5.156213068E1
1.398351542E0,2.251885223E1,6.743286133E0,-4.588308716E1,5.155412981E1
1.408324542E0,2.240826416E1,6.997375488E0,-4.564767456E1,5.133033956E1
1.418297542E0,2.207144928E1,6.964706421E0,-4.588925171E1,5.139532499E1
1.428270542E0,2.210095215E1,7.178329468E0,-4.590170288E1,5.144848712E1
1.438244542E0,2.208197021E1,7.313438416E0,-4.594525146E1,5.149821281E1
1.448217542E0,2.207419586E1,7.344612122E0,-4.619146729E1,5.171909802E1
1.458190542E0,2.210363007E1,7.355003357E0,-4.609945679E1,5.165100631E1
1.468163542E0,2.180779266E1,7.363975525E0,-4.602203369E1,5.145712333E1
1.478136542E0,2.216265869E1,7.485969543E0,-4.619842529E1,5.178337262E1
1.488110542E0,2.215814209E1,7.466560364E0,-4.601422119E1,5.161435204E1
1.498083542E0,2.220596313E1,7.561561584E0,-4.584796143E1,5.150065610E1
1.508056542E0,2.221417999E1,7.608711243E0,-4.588919067E1,5.154784283E1
